delete-horizontal-space, M-\
vc-region-history, C-x v h
ns-prev-frame, s-~
mouse-drag-right-edge, <right-edge> <down-mouse-1>
about-emacs, C-h C-a
delete-blank-lines, C-x C-o
ido-insert-file, C-x i
universal-coding-system-argument, C-x RET c
edit-kbd-macro, C-x C-k e
move-to-window-line-top-bottom, M-r
mouse-drag-region, <down-mouse-1>
window-configuration-to-register, C-x r w
scroll-lock-mode, <Scroll_Lock>
open-rectangle, C-x r o
isearch-repeat-forward, s-g
clone-indirect-buffer-other-window, C-x 4 c
ido-switch-buffer-other-window, C-x 4 b
set-fill-prefix, C-x .
mouse-secondary-save-then-kill, M-<mouse-3>
edit-abbrevs, s-E
mouse-wheel-text-scale, C-<wheel-down>
kmacro-start-macro-or-insert-counter, <f3>
set-file-name-coding-system, C-x RET F
mouse-save-then-kill, S-<mouse-1>
toggle-frame-fullscreen, <f11>
make-frame-command, C-x 5 2
mouse-drag-top-edge, <top-edge> <down-mouse-1>
compose-mail-other-frame, C-x 5 m
repeat, C-x z
kill-sentence, M-k
open-line, <insertline>
ns-do-hide-emacs, s-h
move-beginning-of-line, C-a
project-other-frame-command, C-x 5 p
quoted-insert, C-q
vc-switch-backend, C-x v b
kmacro-swap-ring, C-x C-k C-t
tab-new, C-x t 2
mouse-set-point, <mouse-1>
kmacro-delete-ring-head, C-x C-k C-d
mouse-set-secondary, M-<drag-mouse-1>
narrow-to-page, C-x n p
magit-dispatch, C-x M-g
kmacro-set-format, C-x C-k C-f
ns-do-hide-others, s-H
vc-revert, C-x v u
Info-goto-emacs-command-node, C-h F
query-replace, M-%
magit-status, C-x g
text-scale-adjust, s-0
my-other-window, C-o
calc-dispatch, C-x *
project-or-external-find-regexp, C-x p G
view-echo-area-messages, C-h e
bookmark-jump, C-x r b
isearch-forward-symbol, M-s _
keyboard-quit, C-g
mouse-drag-top-left-corner, <top-left-corner> <down-mouse-1>
occur, M-s o
move-end-of-line, C-e
narrow-to-defun, C-x n d
ns-print-buffer, s-p
set-keyboard-coding-system, C-x RET k
describe-language-environment, C-h L
ido-list-directory, C-x C-d
ido-insert-buffer, C-x x i
kill-word, M-d
view-emacs-debugging, C-h C-d
set-mark-command, C-SPC
digit-argument, C-9
shell-command-on-region, M-|
god-mode-all, ;
zap-to-char, M-z
backward-char, C-b
indent-region, C-M-\
where-is, C-h w
ido-find-alternate-file, C-x C-v
delete-window, C-x 0
set-selection-coding-system, C-x RET x
activate-transient-input-method, C-x \
scroll-bar-toolkit-scroll, <vertical-scroll-bar> <down-mouse-1>
back-to-indentation, M-m
tab-next, C-x t o
append-next-kill, C-M-w
mark-whole-buffer, C-x h
exchange-point-and-mark, C-x C-x
write-file, C-x C-w
vc-create-tag, C-x v s
vc-print-root-log, C-x v L
info-other-window, C-h 4 i
other-frame, C-x 5 o
backward-kill-sexp, ESC C-<backspace>
delete-other-windows, C-x 1
tab-group, C-x t G
goto-char, M-g c
mouse-drag-left-edge, <left-edge> <down-mouse-1>
project-eshell, C-x p e
ido-find-file-other-frame, C-x 5 C-f
previous-error, M-g p
kmacro-end-or-call-macro-repeat, C-x C-k C-k
upcase-region, C-x C-u
mouse-select-window, <vertical-line> <mouse-1>
set-goal-column, C-x C-n
isearch-backward-regexp, C-M-r
vc-diff-mergebase, C-x v M D
expand-abbrev, C-x '
end-of-defun, C-M-e
ns-open-file-select-line, <ns-open-file-line>
fill-paragraph, M-q
vc-delete-file, C-x v x
delete-rectangle, C-x r d
indent-for-tab-command, TAB
insert-file, C-x i
project-kill-buffers, C-x p k
not-modified, M-~
project-find-file, C-x p f
end-of-buffer, M->
xref-find-definitions-other-window, C-x 4 .
next-error, C-x `
insert-char, C-x 8 RET
vc-diff, C-x v =
next-window-any-frame, s-'
isearch-repeat-backward, s-d
backward-kill-word, M-DEL
indent-rigidly, C-x TAB
tab-move, C-x t m
tab-previous, C-x t O
vc-register, C-x v i
eww-search-words, M-s M-w
kmacro-end-macro, C-x )
balance-windows, C-x +
string-rectangle, C-x r t
down-list, C-M-d
kmacro-cycle-ring-previous, C-x C-k C-p
kmacro-end-or-call-macro, <f4>
describe-coding-system, C-h C
abbrev-prefix-mark, M-'
exit-recursive-edit, C-M-c
compose-mail-other-window, C-x 4 m
apropos-command, C-h a
describe-no-warranty, C-h C-w
project-query-replace-regexp, C-x p r
describe-syntax, C-h s
isearch-forward-symbol-at-point, M-s .
number-to-register, C-x r n
describe-key-briefly, C-h c
view-order-manuals, C-h RET
rename-uniquely, C-x x u
query-replace-regexp, C-M-%
ns-copy-including-secondary, s-c
kmacro-edit-lossage, C-x C-k l
ido-kill-buffer, C-x k
view-hello-file, C-h h
mouse-split-window-vertically, <right-divider> C-<mouse-2>
backward-kill-sentence, C-x DEL
view-emacs-problems, C-h C-p
vc-revision-other-window, C-x v ~
mark-paragraph, M-h
add-mode-abbrev, C-x a +
transpose-sexps, C-M-t
make-frame, <ns-new-frame>
scroll-bar-toolkit-horizontal-scroll, <horizontal-scroll-bar> <down-mouse-1>
ido-find-file-read-only-other-window, C-x 4 r
scroll-other-window-down, M-<prior>
kmacro-end-and-call-macro, C-x e
project-switch-to-buffer, C-x p b
move-past-close-and-reindent, M-)
context-menu-open, S-<f10>
view-emacs-news, C-h n
scroll-other-window, C-M-v
what-cursor-position, C-x =
previous-line, C-p
save-buffers-kill-emacs, <ns-power-off>
shrink-window-horizontally, C-x {
project-execute-extended-command, C-x p x
kmacro-step-edit-macro, C-x C-k SPC
describe-variable, C-h v
ido-find-file-read-only, C-x C-r
describe-input-method, C-h I
move-to-column, M-g TAB
goto-line-relative, C-x n g
describe-copying, C-h C-c
tab-close-other, C-x t 1
save-buffer, C-x C-s
